subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
78.0,10.0,1.0,1613.0,-22.54,-21.2172,-26.3746,-20.2195,-15.1841
78.0,10.0,1.0,1614.0,-22.3537,-21.117,-24.5465,-20.2848,-15.2847
78.0,10.0,1.0,1615.0,-22.3255,-19.8521,-21.4912,-19.0486,-14.2307
78.0,10.0,1.0,1616.0,-20.0201,-16.6986,-18.5746,-16.2292,-12.2556
78.0,10.0,1.0,1617.0,-18.9233,-16.4483,-19.9513,-16.8349,-13.4653
78.0,10.0,1.0,1618.0,-19.5658,-17.8552,-24.5134,-19.4678,-14.8749
78.0,10.0,1.0,1619.0,-20.4244,-19.052,-26.4669,-21.3984,-15.2766
78.0,10.0,1.0,1620.0,-20.1213,-18.6886,-27.2714,-21.9278,-15.497
78.0,10.0,1.0,1621.0,-19.8438,-18.9891,-29.9955,-23.5937,-15.93
78.0,10.0,1.0,1622.0,-18.1345,-17.8747,-33.0635,-24.6973,-15.5386
78.0,10.0,1.0,1623.0,-14.6127,-14.1583,-33.684,-24.0833,-11.9381
78.0,10.0,1.0,1624.0,-12.7004,-12.0629,-33.7367,-22.9286,-9.4105
78.0,10.0,1.0,1625.0,-12.4588,-12.1163,-29.9221,-20.2869,-9.113
78.0,10.0,1.0,1626.0,-13.8138,-13.7409,-22.7204,-17.6931,-9.7809
78.0,10.0,1.0,1627.0,-16.2672,-16.5687,-18.9395,-18.3445,-13.1225
78.0,10.0,1.0,1628.0,-18.8287,-19.1932,-19.2289,-21.1461,-16.5075
78.0,10.0,1.0,1629.0,-19.942,-20.4113,-23.8467,-23.2586,-17.481
78.0,10.0,1.0,1630.0,-20.2726,-20.3766,-26.1353,-22.8162,-17.2284
78.0,10.0,1.0,1631.0,-19.2596,-19.4744,-27.3101,-22.935,-16.4534
78.0,10.0,1.0,1632.0,-18.4275,-18.4534,-29.386,-23.1728,-16.347
78.0,10.0,1.0,1633.0,-17.7943,-17.8011,-31.188,-24.1052,-16.6951
78.0,10.0,1.0,1634.0,-16.9599,-16.64,-31.0301,-24.2369,-15.7605
78.0,10.0,1.0,1635.0,-17.1371,-16.8623,-29.8462,-24.4515,-15.9268
78.0,10.0,1.0,1636.0,-15.3069,-15.117,-26.4581,-22.0128,-13.7181
78.0,10.0,1.0,1637.0,-12.7852,-12.4024,-24.8375,-20.6361,-11.9082
78.0,10.0,1.0,1638.0,-10.7302,-10.3481,-23.7783,-17.3779,-9.5935
78.0,10.0,1.0,1639.0,-9.3136,-8.8691,-19.5092,-14.194,-7.2467
78.0,10.0,1.0,1640.0,-11.0849,-10.7602,-17.5202,-15.8538,-9.2098
78.0,10.0,1.0,1641.0,-14.8296,-15.1562,-21.0382,-19.9514,-13.1522
78.0,10.0,1.0,1642.0,-15.4493,-15.8028,-20.7323,-19.8029,-14.0294
78.0,10.0,1.0,1643.0,-16.3845,-16.5379,-16.09,-18.6695,-14.0418
78.0,10.0,1.0,1644.0,-17.0924,-17.1678,-12.1398,-17.6211,-13.5731
78.0,10.0,1.0,1645.0,-14.0627,-13.5618,-9.0448,-14.7024,-10.0517
78.0,10.0,1.0,1646.0,-11.9667,-10.4671,-12.1156,-13.5574,-8.2336
78.0,10.0,1.0,1647.0,-10.7281,-8.9248,-14.9398,-12.4354,-6.4403
78.0,10.0,1.0,1648.0,-9.8738,-8.5657,-16.7805,-11.8304,-5.4116
78.0,10.0,1.0,1649.0,-10.3788,-9.0923,-18.7495,-13.069,-6.2095
78.0,10.0,1.0,1650.0,-12.0687,-10.5077,-18.793,-14.9568,-7.8678
78.0,10.0,1.0,1651.0,-12.2669,-11.676,-19.065,-15.1939,-8.3545
78.0,10.0,1.0,1652.0,-9.8169,-9.8806,-17.0498,-12.1251,-6.6291
78.0,10.0,1.0,1653.0,-11.9941,-11.8178,-18.0802,-14.5967,-8.0156
78.0,10.0,1.0,1654.0,-13.2835,-12.2137,-19.6649,-15.9865,-8.3219
78.0,10.0,1.0,1655.0,-9.8369,-7.9589,-19.509,-14.3248,-5.0757
78.0,10.0,1.0,1656.0,-7.1858,-5.2141,-17.2362,-13.2818,-2.8918
78.0,10.0,1.0,1657.0,-7.3996,-5.4786,-12.2251,-10.7104,-1.6807
78.0,10.0,1.0,1658.0,-10.0408,-7.7018,-9.0478,-9.2614,-2.8995
78.0,10.0,1.0,1659.0,-9.9161,-7.2807,-4.8455,-6.9046,-2.2227
78.0,10.0,1.0,1660.0,-8.9312,-6.3148,-1.1896,-5.5279,-1.0603
78.0,10.0,1.0,1661.0,-9.5881,-7.9355,-3.2493,-7.554,-2.7012
78.0,10.0,1.0,1662.0,-10.8317,-10.0532,-4.9904,-8.8434,-3.8194
78.0,10.0,1.0,1663.0,-12.0394,-10.8427,-5.1489,-9.7262,-3.9646
78.0,10.0,1.0,1664.0,-9.8921,-8.8372,-2.8484,-7.9129,-1.9066
78.0,10.0,1.0,1665.0,-10.244,-9.3723,-4.616,-9.0817,-3.4542
78.0,10.0,1.0,1666.0,-13.499,-12.7177,-9.547,-14.0047,-7.4707
78.0,10.0,1.0,1667.0,-13.6091,-12.8824,-8.5316,-14.2353,-8.2006
78.0,10.0,1.0,1668.0,-12.4287,-11.2398,-10.7619,-14.1559,-8.3785
78.0,10.0,1.0,1669.0,-9.2704,-7.6676,-15.2788,-12.8395,-4.9901
